English names: 426 tickers
Hebrew names:  170 tickers
Total unique tickers: 519
Already validated: 0 tickers
  [ 517/519] ZOOZ.TA            OK  price=98.69999694824219
  [ 518/519] ZPRS.TA            OK  price=2960.0
  [ 519/519] ZUR.TA             OK  price=1131.0

Saved 519 stocks to C:\Users\אבישי שי חרמון\Desktop\BorsaProject\data\tase_stock_reference.json
  Valid on YF:       518
  With English name: 426
  With Hebrew name:  170
  With both names:   77

Sample (has both names):
  ABOU.TA            | ABOU FAMILY RESIDE             | אבו פמילי ריט בע"מ
  ACCL.TA            | ACCEL SOLUTIONS GR             | אקסל סולושנס גרופ בע"מ
  ACKR.TA            | ACKERSTEIN GROUP L             | קבוצת אקרשטיין בע"מ
  ADGR.TA            | ADGAR INVEST & DEV             | אדגר השקעות ופיתוח בע"מ
  AGRD.TA            | AUTONOMOUS GUARD               | אוטונומוס גארד בע"מ
  ALAR.TA            | ALARUM TECHNOLOGIE             | אלארום טכנולוגיות בע"מ
  ALHE.TA            | ALONY HETZ                     | אלוני-חץ נכסים והשקעות בע"מ
  ALMD.TA            | ALLMED SOLUTIONS               | אולמד סולושנס בע"מ
  ALRPR.TA           | ALROV PROPERTIES               | אלרוב נדל"ן ומלונאות בע"מ
  ALTF.TA            | ALTSHULER SHAHAM F             | אלטשולר שחם פיננסים בע"מ
